,mutual_information,random_forest
liquidity_factor_roll_min_10,0.033027473304174215,0.0006801731416595961
liquidity_factor_roll_min_20,0.03585157461681998,0.002669783448750228
liquidity_factor_roll_min_5,0.0,0.001159893100738669
liquidity_factor_roll_min_50,0.015592877450119502,0.0022019677133752673
liquidity_factor_roll_skew_10,0.0,0.00404943249775773
liquidity_factor_roll_skew_20,0.01874667143262787,0.0003293333596115531
liquidity_factor_roll_skew_5,0.0,0.0030503456457532598
liquidity_factor_roll_skew_50,0.0,0.0019279536909461443
liquidity_factor_roll_std_10,0.015452062557469226,0.0023312935308623067
liquidity_factor_roll_std_20,0.0,0.000938701974841773
liquidity_factor_roll_std_5,0.0,0.0018199758355963323
liquidity_factor_roll_std_50,0.026350438519001873,0.0052017531232747705
liquidity_factor_rsi,0.0,0.001105234741879289
liquidity_factor_sin,0.0,0.00020259239737418063
liquidity_factor_x_carry_factor,0.0,0.0008886953330347161
liquidity_factor_x_macro_factor,0.0,0.0009186459545145356
liquidity_factor_x_sentiment_factor,0.0,0.0005825027157406711
liquidity_factor_x_technical_factor,0.0004060177536917564,0.0008264851119852977
macro_factor,0.053617316219351174,0.026222282598373906
macro_factor_lag1,0.026954828872246317,0.03323552421395246
macro_factor_lag10,0.047666898743935704,0.003593199271115972
macro_factor_lag2,0.007943207429528698,0.006637744959857282
macro_factor_lag20,0.005815802050218366,0.0016910400583752224
macro_factor_lag3,0.03681769260243062,0.01424518183505073
macro_factor_lag5,0.012577795669880487,0.0027547620013427723
macro_factor_momentum_10,0.0,0.0007556814310735116
macro_factor_momentum_20,0.0,0.0021584081972166307
macro_factor_momentum_5,0.028996672744538543,0.0003046432883791307
macro_factor_pow2,0.040350039842601326,0.00021799604989436835
macro_factor_roc_10,0.0,0.0019582110280184123
macro_factor_roc_20,0.0,0.0004037576066604505
macro_factor_roc_5,0.022944869929402145,0.002430074445773874
macro_factor_roll_max_10,0.023104028984567204,0.0033132549603849966
macro_factor_roll_max_20,0.0702880118939544,8.631658231512356e-05
macro_factor_roll_max_5,0.03120383543334615,0.01086469633837475
macro_factor_roll_max_50,0.0020114968208084782,7.580512923963358e-07
macro_factor_roll_mean_10,0.03392005664244202,0.0028417772298433876
macro_factor_roll_mean_20,0.007353964013236514,0.0020473074897103395
macro_factor_roll_mean_5,0.01981428286744613,0.010007332466284453
macro_factor_roll_mean_50,0.028389392280513626,0.0002794369001930358
macro_factor_roll_min_10,0.013537747879539097,0.0032788009789960315
macro_factor_roll_min_20,0.023887259585138487,0.0012616880070463181
macro_factor_roll_min_5,0.03994303469201377,0.007231720815030996
macro_factor_roll_min_50,0.02888551470274514,0.0005552424605784674
macro_factor_roll_skew_10,0.01044973961662432,0.001993794832373724
macro_factor_roll_skew_20,0.022073524946139678,0.0007426993955870094
macro_factor_roll_skew_5,0.0,0.0006758494536925177
macro_factor_roll_skew_50,0.0,0.0009793488966213224
macro_factor_roll_std_10,0.004036279399335818,0.000499071642470179
macro_factor_roll_std_20,0.0237200693712869,0.0012424375747955593
macro_factor_roll_std_5,0.0,0.0007782346221711019
macro_factor_roll_std_50,0.014800848689482837,0.001469955589692055
macro_factor_rsi,0.031611790488088154,0.0013455670425004255
macro_factor_x_carry_factor,0.0,0.001183842929735858
momentum_factor,0.09001386868636363,0.19592662524059418
momentum_factor_bb_position,0.07379970804920433,0.04599905040316875
momentum_factor_lag1,0.0006598186704800391,0.00266153639760225
momentum_factor_lag10,0.028059855571678227,0.001548224685718454
momentum_factor_lag2,0.0,0.00045278571771027287
momentum_factor_lag20,0.0,0.0018017770203069537
momentum_factor_lag3,0.0,0.001099174489423549
momentum_factor_lag5,0.006801105409299346,0.0011188877412155495
momentum_factor_macd,0.038979344418669015,0.0004157030191855071
momentum_factor_macd_hist,0.03897133452218915,0.005519544636316244
momentum_factor_macd_signal,0.018444196436809612,0.0015215440976621933
momentum_factor_momentum_10,0.03537449593044384,0.0058486801320820955
momentum_factor_momentum_20,0.007378241768055904,0.0035932366797166476
momentum_factor_momentum_5,0.05611842724079441,0.0034972691511780075
momentum_factor_roc_10,0.008299617058605158,0.006410345416796081
momentum_factor_roc_20,0.03269098138407722,0.004001676981882336
momentum_factor_roc_5,0.04885231117034383,0.0020968894362687835
momentum_factor_roll_max_10,0.010090254410402455,0.000523050117629086
momentum_factor_roll_max_20,0.0,0.0018502315198805522
momentum_factor_roll_max_5,0.006668041671702429,0.00591435177714354
momentum_factor_roll_max_50,0.023210326948110538,0.0004212396091025735
momentum_factor_roll_mean_10,0.010909491404092364,0.0010290566443607644
momentum_factor_roll_mean_20,0.0,0.002548011987380535
momentum_factor_roll_mean_5,0.0,0.0010667692674368285
momentum_factor_roll_mean_50,0.0,0.0002757612480234625
momentum_factor_roll_min_10,0.0,0.000985957642999088
momentum_factor_roll_min_20,0.0065157976941074836,0.0005172806235575142
momentum_factor_roll_min_5,0.0,0.0022706885742431646
momentum_factor_roll_min_50,0.05562642432538478,1.2133851288128789e-05
momentum_factor_roll_skew_10,0.015557500149693482,0.003092471016749335
momentum_factor_roll_skew_20,0.0018586144554673112,0.0006139384653047553
momentum_factor_roll_skew_5,0.0,0.0005076784907303005
momentum_factor_roll_skew_50,0.0,0.0006810899931130602
momentum_factor_roll_std_10,0.0,0.0014561793860134392
momentum_factor_roll_std_20,0.0,3.3717769482171065e-05
momentum_factor_roll_std_5,0.018146355777455714,0.0038859487640355
momentum_factor_roll_std_50,0.03800056842118815,0.002992248839698935
momentum_factor_rsi,0.0,0.0029575624043728112
momentum_factor_stoch,0.0682515550119911,0.01230658089901133
quality_factor,0.017997143568972085,3.868393682128418e-05
quality_factor_bb_lower,0.024590591156878006,0.0017921511850980498
quality_factor_bb_position,0.01158057499695353,0.0009859967108297766
quality_factor_bb_upper,0.03587070795172398,0.002496232694819767
quality_factor_cos,0.0077239978574681345,9.147083553301257e-05
quality_factor_div_liquidity_factor,0.0,0.002533806207651298
quality_factor_div_size_factor,0.014626424986140307,0.0015346456703791821
quality_factor_lag1,0.014576608623523946,0.00042471228568013704
quality_factor_lag10,0.0,0.0032846683121756236
quality_factor_lag2,0.0,0.00038129203677638384
quality_factor_lag20,0.0,0.0009907394259940625
quality_factor_lag3,0.003171002792056399,0.00024211473189111887
quality_factor_lag5,0.0024719637822014917,0.000558773974502531
quality_factor_macd,0.0294877375141831,0.0013652299864919013
quality_factor_macd_hist,0.0,0.0010783976365523786
quality_factor_macd_signal,0.002639420650592861,0.00108064465522855
quality_factor_momentum_10,0.0,0.0004787173286235557
quality_factor_momentum_20,0.00023337125440470174,0.0016239474290184912
quality_factor_momentum_5,0.011600777575510257,0.0011116378585496489
quality_factor_pow2,0.0,0.0007354063222983091
quality_factor_roc_10,0.0023395925057037026,0.001151906121424856
quality_factor_roc_20,0.0,0.002397298504037313
quality_factor_roc_5,0.0,0.002038697640838487
quality_factor_roll_max_10,0.0,0.0022727885342210866
quality_factor_roll_max_20,0.0,0.000899552037961333
quality_factor_roll_max_5,0.00026940560527322077,0.0005534358991433958
quality_factor_roll_max_50,0.0,0.0019370359946778897
quality_factor_roll_mean_10,0.005741521295794527,0.00043426254960604783
quality_factor_roll_mean_20,0.03807296021278628,0.0007686139944349849
quality_factor_roll_mean_5,0.0007954092391111445,0.00027002615586527563
quality_factor_roll_mean_50,0.018769310363361935,0.0011228812190935866
quality_factor_roll_min_10,0.033618265631768285,0.0
quality_factor_roll_min_20,0.026406670452586933,0.0003429524505266347
quality_factor_roll_min_5,0.028456170786449242,0.0004059531928572721
quality_factor_roll_min_50,0.030241553715672165,0.0013492820979971337
quality_factor_roll_skew_10,0.006633272155119663,0.00045031271432261237
quality_factor_roll_skew_20,0.0,0.0005010910364313366
quality_factor_roll_skew_5,0.0,0.0007801532050326774
quality_factor_roll_skew_50,0.0,0.002073356366497922
quality_factor_roll_std_10,0.00729579926256152,0.0011762387557613368
quality_factor_roll_std_20,0.009087211060172962,0.0018505065782367645
quality_factor_roll_std_5,0.0,0.0024983390537100542
quality_factor_roll_std_50,0.025425218498239754,0.006326218217719073
quality_factor_rsi,0.01274400270198317,0.0005681919355172329
quality_factor_sin,0.015523749042887669,0.0013874064924649157
quality_factor_x_carry_factor,0.006533279187958652,0.0032832232474496407
quality_factor_x_liquidity_factor,0.0,0.004396103926728944
quality_factor_x_macro_factor,0.024219881986371927,0.0030675332725049824
quality_factor_x_sentiment_factor,0.0,0.004356536327968174
quality_factor_x_size_factor,0.0,0.0009729996652815993
quality_factor_x_technical_factor,0.04102895486177882,0.0011783918298894146
sentiment_factor,0.0009687884370306321,0.0008086783489374975
sentiment_factor_lag1,0.0,0.0009392209643581929
sentiment_factor_lag10,0.005634621727433675,0.0015967942932551907
sentiment_factor_lag2,0.0022926192810777124,0.000605981454991127
sentiment_factor_lag20,0.05179819030663424,0.00032527710870849035
sentiment_factor_lag3,0.016741776497960714,0.0017658578908364864
sentiment_factor_lag5,0.021759620444302463,0.0008071733283496286
sentiment_factor_momentum_10,0.00922844491007524,0.0006128871435075267
sentiment_factor_momentum_20,0.0,0.0008414728870578637
sentiment_factor_momentum_5,0.0002774742092261917,0.0011564761861191256
sentiment_factor_pow2,0.010832756942257049,0.00061884220162235
sentiment_factor_roc_10,0.0020187106323161785,0.0013230730193124502
sentiment_factor_roc_20,0.0,0.0001524098230128425
sentiment_factor_roc_5,0.011756273179454713,0.0010822138360711648
sentiment_factor_roll_max_10,0.006520888530306301,0.0001885335369824758
sentiment_factor_roll_max_20,0.023652194529780957,0.00039209945323510903
sentiment_factor_roll_max_5,0.004407599596278899,0.001111385990113014
sentiment_factor_roll_max_50,0.01618596830813024,0.0
sentiment_factor_roll_mean_10,0.0,0.0006325550849337743
sentiment_factor_roll_mean_20,0.0,0.00020514987772493994
sentiment_factor_roll_mean_5,0.0,8.644558424399806e-05
sentiment_factor_roll_mean_50,0.01044070410030784,0.0008471256167328204
sentiment_factor_roll_min_10,0.0,0.0008995492408222886
sentiment_factor_roll_min_20,0.0,0.0004145970898655484
sentiment_factor_roll_min_5,0.0,0.0013929569456071983
sentiment_factor_roll_min_50,0.0,0.0015341223994848362
sentiment_factor_roll_skew_10,0.020381410018454282,0.0006069942071893128
sentiment_factor_roll_skew_20,0.04233751407898101,0.0003924655684916051
sentiment_factor_roll_skew_5,0.012358859531189204,0.0016675939168483928
sentiment_factor_roll_skew_50,0.029298697070448743,0.0011815030596215475
sentiment_factor_roll_std_10,0.014082155398049245,0.0015261343428016633
sentiment_factor_roll_std_20,0.0,0.00017081336401705092
sentiment_factor_roll_std_5,0.003547678099334206,0.0010128825231558274
sentiment_factor_roll_std_50,0.021071130381559833,0.002841336887706518
sentiment_factor_rsi,0.0,0.0024328234705632995
sentiment_factor_x_carry_factor,0.0,0.00026019113831809786
sentiment_factor_x_macro_factor,0.0,0.0008343283512108207
sentiment_factor_x_technical_factor,0.0,0.0003882910221409041
size_factor,0.037576051856217596,0.00022302035654496973
size_factor_bb_position,0.019606046767229657,0.0019919397222635327
size_factor_cos,0.022405041946900184,0.0023904428492507917
size_factor_div_liquidity_factor,0.0,0.0015317319862476614
size_factor_lag1,0.0,0.0
size_factor_lag10,0.0,4.036084504035272e-07
size_factor_lag2,0.029695000896297508,0.0005163916497081399
size_factor_lag20,0.001858876336742199,0.000490805401684458
size_factor_lag3,0.01589449832936385,0.0004927434649142928
size_factor_lag5,0.028626567427226135,0.0007774523963303592
size_factor_macd,0.01445303178837376,0.0036835698658339387
size_factor_macd_hist,0.0006109251116570569,0.0015795342120314066
size_factor_macd_signal,0.008555844924669653,0.0007848693977453892
size_factor_momentum_10,0.016537547467592617,0.0011332630167394339
size_factor_momentum_20,0.008598555181386747,0.002555094672105004
size_factor_momentum_5,0.020075115875873184,0.0019927808160488743
size_factor_pow2,0.026718636220749215,0.0019426920049409918
size_factor_roc_10,0.0077056886631363675,0.0007177892019160913
size_factor_roc_20,0.0,0.0015625629794208315
size_factor_roc_5,0.025268881753921058,0.0006545409741627967
size_factor_roll_max_10,0.01700903037915591,0.0017201033699248095
size_factor_roll_max_20,0.0,0.0012980451894892462
size_factor_roll_max_5,0.047426988937564474,5.6270297972756924e-05
size_factor_roll_max_50,0.013911377631641741,0.0
size_factor_roll_mean_10,0.023453448878152372,0.00012929573594935045
size_factor_roll_mean_20,0.009465310582285724,2.897184167107347e-05
size_factor_roll_mean_5,0.0243902453715501,7.596705965283905e-05
size_factor_roll_mean_50,0.007784880094006574,4.2102623584398004e-05
size_factor_roll_min_10,0.031157365695768213,0.0
size_factor_roll_min_20,0.0,0.0
size_factor_roll_min_5,0.022407610526135713,0.00034740544801188487
size_factor_roll_min_50,0.03762321301786864,0.000274368206905568
size_factor_roll_skew_10,0.010579661823531872,0.004699120502407606
size_factor_roll_skew_20,0.009797287537781862,0.0038307643365109167
size_factor_roll_skew_5,0.0,0.0022005643625594433
size_factor_roll_skew_50,0.0190047028902951,0.00043084425298483273
size_factor_roll_std_10,0.0,0.002118500852410583
size_factor_roll_std_20,0.03297919178611464,0.0016487759848344704
size_factor_roll_std_5,0.02609172201803167,0.0019052099660773715
size_factor_roll_std_50,0.021619699360122535,0.000705564208848765
size_factor_rsi,0.010504745758658451,0.0024325054189556997
size_factor_sin,0.028750400127024456,0.000706742581127977
size_factor_x_carry_factor,0.01991701219528874,0.000941211926010799
size_factor_x_liquidity_factor,0.0,0.005385434556914795
size_factor_x_macro_factor,0.0,0.0019136202835340033
size_factor_x_sentiment_factor,0.0,0.0012994212269554822
size_factor_x_technical_factor,0.02045990726220248,0.0006067255508708505
technical_factor,0.0,0.0005686231679995114
technical_factor_lag1,0.0,0.0005541768713820275
technical_factor_lag10,0.0,0.00036253531603538025
technical_factor_lag2,0.00527914888711134,0.00044076559619903505
technical_factor_lag20,0.011463670400222448,0.00035770972977070513
technical_factor_lag3,0.0,0.0004100757584499046
technical_factor_lag5,0.0,0.0003221396278760566
technical_factor_momentum_10,0.015969617638774025,0.0017301754640364241
technical_factor_momentum_20,0.006829220062576802,0.0005129175139856125
technical_factor_momentum_5,0.0,0.0012193121173443666
technical_factor_pow2,0.0,0.0018513733774156054
technical_factor_roc_10,0.028281417860478886,0.0004754739933406026
technical_factor_roc_20,0.0,0.0010216529660796443
technical_factor_roc_5,0.0,0.0019238480897821849
technical_factor_roll_max_10,0.024800633023883023,7.60328659222665e-05
technical_factor_roll_max_20,0.0,7.274368131053636e-07
technical_factor_roll_max_5,0.03306845729498242,0.0
technical_factor_roll_max_50,0.0022658344404229425,0.0004330100883948877
technical_factor_roll_mean_10,0.020181819979839588,0.00017525052716618303
technical_factor_roll_mean_20,0.0,0.00025437232375156565
technical_factor_roll_mean_5,0.0,8.365131446354356e-05
technical_factor_roll_mean_50,0.005783344355466902,1.2793870322656568e-05
technical_factor_roll_min_10,0.0,0.000871925259243577
technical_factor_roll_min_20,0.0,0.0005431612713930596
technical_factor_roll_min_50,0.005500761878149518,0.0
technical_factor_roll_skew_10,0.008048490672035058,0.0010312642380871102
technical_factor_roll_skew_20,0.0,0.0007498795876311456
technical_factor_roll_skew_5,0.0,0.0013287467023799474
technical_factor_roll_skew_50,0.024736498235331972,0.003127127446937256
technical_factor_roll_std_10,0.0,0.0010826072083535202
technical_factor_roll_std_20,0.024868723025774475,0.0016064951212210066
technical_factor_roll_std_5,0.0,0.0016091786645046945
technical_factor_roll_std_50,0.017128419527934646,0.0028715373491118635
technical_factor_rsi,0.0,0.001190606796893287
technical_factor_x_carry_factor,0.0,0.00107888577502157
technical_factor_x_macro_factor,0.00884066749233181,0.0010896031493328549
value_factor,0.012704809473087941,0.0005038967740298515
value_factor_bb_lower,0.0,0.001931932753832591
value_factor_bb_position,0.023697577504439238,0.0007705489780609893
value_factor_bb_upper,0.01134332791537318,0.002458096768963414
value_factor_cos,0.018687710112218703,0.00038479225902017923
value_factor_div_liquidity_factor,0.0,0.0004461007950341857
value_factor_div_quality_factor,0.008593758607238211,0.0014588525881484968
value_factor_div_size_factor,0.02391707486827288,0.0006856117135841582
value_factor_div_volatility_factor,0.0,0.0008927962132554323
value_factor_lag1,0.01690322740977468,0.0028742930518191596
value_factor_lag10,0.045734027524458654,0.0003596790730500781
value_factor_lag2,0.015579945563778175,0.0010613873237230321
value_factor_lag20,0.0,0.0
value_factor_lag3,0.04262177707069448,0.004208150022773601
value_factor_lag5,0.045721675482649715,0.003121761142825867
value_factor_macd,0.0279364813433709,0.0019674270642704612
value_factor_macd_hist,0.04479204361122768,0.000301551180422882
value_factor_macd_signal,0.034501838781222816,0.004824760836833682
value_factor_momentum_10,0.02559274776983189,0.0012375688881610628
value_factor_momentum_20,0.0035322198771297053,0.0006269731078476867
value_factor_momentum_5,0.025671677876535792,0.0016268651192376416
value_factor_pow2,0.0,0.0014701664592393201
value_factor_roc_10,0.021281644492887164,0.0013290899626029356
value_factor_roc_20,0.0,0.0020190898628957114
value_factor_roc_5,0.0037523481134806858,0.0011227622668398363
value_factor_roll_max_10,0.04095735439731607,0.00610939578517957
value_factor_roll_max_20,0.012736048175462145,0.0010242078999839574
value_factor_roll_max_5,0.0,0.0010938156835163361
value_factor_roll_max_50,0.009818824029947937,0.0023212534984292403
value_factor_roll_mean_10,0.006606930179771986,0.0001254479020701033
value_factor_roll_mean_20,0.007209009632899388,0.0016237254075220856
value_factor_roll_mean_5,0.0,0.0026325215519023364
value_factor_roll_mean_50,0.0,0.0010932376993930328
value_factor_roll_min_10,0.0,0.0015847633243505019
value_factor_roll_min_20,0.019490852345896315,0.005550278387734191
value_factor_roll_min_5,0.031480382162508924,0.0022197865164514073
value_factor_roll_min_50,0.0166945364893496,0.00042939825089519394
value_factor_roll_skew_10,0.0,0.0037712284780113837
value_factor_roll_skew_20,0.015891576620467696,0.0036551841309880673
value_factor_roll_skew_5,0.00833717082129315,0.001539746726614033
value_factor_roll_skew_50,0.005601033808572353,0.0023237023798784355
value_factor_roll_std_10,0.039586218980794285,0.003168810908731674
value_factor_roll_std_20,0.025329963379287612,0.0003725665495351533
value_factor_roll_std_5,0.0,0.0030438253384712094
value_factor_roll_std_50,0.006155253676412009,0.0017450069458682016
value_factor_rsi,0.028033599356713346,0.000538231765970697
value_factor_sin,0.0,0.002943914376443037
value_factor_stoch,0.019587402296883383,0.0006747301704500508
value_factor_x_carry_factor,0.0,0.0008875028135667564
value_factor_x_liquidity_factor,0.0,0.0005660773633637227
value_factor_x_macro_factor,0.009399273610970926,0.001306996585925371
value_factor_x_quality_factor,0.0009524322660050544,0.0025615232251076426
value_factor_x_sentiment_factor,0.0,0.0009459350881456211
value_factor_x_size_factor,0.05186391117394029,0.0017681173888181878
value_factor_x_technical_factor,0.009168567731569155,0.0011704861509637342
value_factor_x_volatility_factor,0.024384189252657507,0.002325013906230018
volatility_factor,0.044995690660724286,0.00029703911157922326
volatility_factor_bb_lower,0.028949769619153187,0.00042211610767373906
volatility_factor_bb_position,0.008470699698827744,0.000639718621551153
volatility_factor_cos,0.05455408419580454,0.0005282777194922096
volatility_factor_div_liquidity_factor,0.0,0.002069696394726106
volatility_factor_div_quality_factor,0.0,0.0008392778391277504
volatility_factor_div_size_factor,0.006151516177392402,0.0016073810054723886
volatility_factor_lag1,0.026599892120532598,0.0252032980500813
volatility_factor_lag10,0.04240778169826731,0.0009526041469727195
volatility_factor_lag2,0.04042112282057975,0.0005964580558843187
volatility_factor_lag20,0.037282681293027586,0.0006741584929427248
volatility_factor_lag3,0.0,0.0029707919315930466
volatility_factor_lag5,0.018198654573988726,0.0005588969637093363
volatility_factor_macd,0.03852719279961203,0.005720038456392652
volatility_factor_macd_hist,0.005016025761348075,0.006256031568732878
volatility_factor_macd_signal,0.02338137555631281,0.0005086362806469299
volatility_factor_momentum_10,0.05937808650464893,0.002377428084186756
volatility_factor_momentum_20,0.0,0.0019951446834044137
volatility_factor_momentum_5,0.006298606492364911,0.002528997418768672
volatility_factor_pow2,0.014672219347528603,0.005834789223040533
volatility_factor_roc_10,0.020792807719718365,0.0018688837878475294
volatility_factor_roc_20,0.008094844631346465,0.0018988216521364796
volatility_factor_roc_5,0.01034976685383171,0.0009844470858818347
volatility_factor_roll_max_10,0.0,0.0
volatility_factor_roll_max_20,0.019230753604828177,0.0007313564900307931
volatility_factor_roll_max_50,0.0,2.8250409379732434e-05
volatility_factor_roll_mean_10,0.0,0.0019259450411884594
volatility_factor_roll_mean_20,0.01659689983675383,0.0005152619858959713
volatility_factor_roll_mean_5,0.0,0.0004444548897791893
volatility_factor_roll_mean_50,0.002080393494093169,0.0022132957163078443
volatility_factor_roll_min_50,0.01113058312028592,0.0006121253005517224
volatility_factor_roll_skew_10,0.0,0.0024340667525459213
volatility_factor_roll_skew_20,0.0,0.0013234383516091636
volatility_factor_roll_skew_5,0.0,0.0009083987327447942
volatility_factor_roll_skew_50,0.017662183279655075,0.0015258685610344198
volatility_factor_roll_std_10,0.03046821809040834,0.00017854728203568502
volatility_factor_roll_std_20,0.02132287153715673,0.0016879416181583902
volatility_factor_roll_std_5,0.003935059789850204,0.0007345297689390129
volatility_factor_roll_std_50,0.0,0.008221827591094556
volatility_factor_rsi,0.0040151922986289,0.005021031149446323
volatility_factor_sin,0.04813152821777944,7.2273643781698045e-06
volatility_factor_stoch,0.0,0.0005384147833995438
volatility_factor_x_carry_factor,0.007862640162886514,0.0016583701183542695
volatility_factor_x_liquidity_factor,0.018409259943873657,0.0024645035605470717
volatility_factor_x_macro_factor,0.04502528450924714,0.0037042923408169295
volatility_factor_x_quality_factor,0.002781676991172155,0.0015773546759105218
volatility_factor_x_sentiment_factor,0.02869863335932976,0.0030992032446279768
volatility_factor_x_size_factor,0.049506823544749334,0.0009087926446936907
volatility_factor_x_technical_factor,0.032140969360388905,0.0010451445115490943
